======================================================================
Run 3/16  |  size=XS  split=50%
Config : config/train_shakespeare_char_XS.py
Out dir: out-shakespeare-XS-split50
Log    : logs/train_XS_split50.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_XS.py --train_file=train_50.bin --out_dir=out-shakespeare-XS-split50 --wandb_run_name=XS-split50

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_XS.py:
# Baseline configuration
out_dir = 'out-shakespeare-XS'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 2
n_embd = 64
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_50.bin
Overriding: out_dir = out-shakespeare-XS-split50
Overriding: wandb_run_name = XS-split50
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.10M
num decayed parameter tensors: 10, with 118,848 parameters
num non-decayed parameter tensors: 5, with 320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1910, val loss 4.1903
iter 0: loss 4.1908, time 1509.24ms, mfu -100.00%
iter 10: loss 4.1144, time 2.89ms, mfu 1.84%
iter 20: loss 3.8903, time 2.79ms, mfu 1.84%
iter 30: loss 3.7382, time 2.91ms, mfu 1.84%
iter 40: loss 3.5886, time 2.69ms, mfu 1.85%
iter 50: loss 3.4085, time 2.89ms, mfu 1.85%
iter 60: loss 3.2990, time 2.50ms, mfu 1.88%
iter 70: loss 3.1390, time 2.47ms, mfu 1.91%
iter 80: loss 3.0338, time 2.49ms, mfu 1.93%
iter 90: loss 2.9445, time 2.49ms, mfu 1.95%
iter 100: loss 2.8222, time 2.51ms, mfu 1.96%
iter 110: loss 2.7783, time 2.50ms, mfu 1.98%
iter 120: loss 2.7261, time 2.51ms, mfu 1.99%
iter 130: loss 2.6746, time 2.48ms, mfu 2.01%
iter 140: loss 2.6640, time 2.49ms, mfu 2.02%
iter 150: loss 2.6235, time 2.49ms, mfu 2.03%
iter 160: loss 2.6264, time 2.48ms, mfu 2.04%
iter 170: loss 2.6190, time 2.47ms, mfu 2.05%
iter 180: loss 2.6004, time 2.46ms, mfu 2.06%
iter 190: loss 2.5764, time 2.48ms, mfu 2.07%
iter 200: loss 2.5572, time 2.48ms, mfu 2.08%
iter 210: loss 2.5600, time 2.47ms, mfu 2.08%
iter 220: loss 2.5657, time 2.48ms, mfu 2.09%
iter 230: loss 2.5656, time 2.48ms, mfu 2.09%
iter 240: loss 2.5340, time 2.48ms, mfu 2.10%
step 250: train loss 2.4970, val loss 2.5366
saving checkpoint to out-shakespeare-XS-split50
iter 250: loss 2.5265, time 553.09ms, mfu 1.89%
iter 260: loss 2.5444, time 2.48ms, mfu 1.92%
iter 270: loss 2.5412, time 2.48ms, mfu 1.94%
iter 280: loss 2.5322, time 2.48ms, mfu 1.96%
iter 290: loss 2.5102, time 2.51ms, mfu 1.97%
iter 300: loss 2.5203, time 2.50ms, mfu 1.99%
iter 310: loss 2.5132, time 2.50ms, mfu 2.00%
iter 320: loss 2.4858, time 2.50ms, mfu 2.01%
iter 330: loss 2.4958, time 2.49ms, mfu 2.03%
iter 340: loss 2.5089, time 2.48ms, mfu 2.04%
iter 350: loss 2.5118, time 2.49ms, mfu 2.05%
iter 360: loss 2.5065, time 2.50ms, mfu 2.05%
iter 370: loss 2.5008, time 2.48ms, mfu 2.06%
iter 380: loss 2.4992, time 2.49ms, mfu 2.07%
iter 390: loss 2.4783, time 2.48ms, mfu 2.08%
iter 400: loss 2.4915, time 2.48ms, mfu 2.08%
iter 410: loss 2.5003, time 2.48ms, mfu 2.09%
iter 420: loss 2.4822, time 2.49ms, mfu 2.09%
iter 430: loss 2.4807, time 2.48ms, mfu 2.10%
iter 440: loss 2.4806, time 2.48ms, mfu 2.10%
iter 450: loss 2.5022, time 2.47ms, mfu 2.11%
iter 460: loss 2.4628, time 2.48ms, mfu 2.11%
iter 470: loss 2.4692, time 2.49ms, mfu 2.11%
iter 480: loss 2.4576, time 2.50ms, mfu 2.11%
iter 490: loss 2.4703, time 2.49ms, mfu 2.11%
step 500: train loss 2.4273, val loss 2.4848
saving checkpoint to out-shakespeare-XS-split50
iter 500: loss 2.4549, time 558.87ms, mfu 1.90%
iter 510: loss 2.4579, time 2.48ms, mfu 1.93%
iter 520: loss 2.4851, time 2.47ms, mfu 1.95%
iter 530: loss 2.4339, time 2.49ms, mfu 1.97%
iter 540: loss 2.4404, time 2.48ms, mfu 1.99%
iter 550: loss 2.4754, time 2.48ms, mfu 2.00%
iter 560: loss 2.4536, time 2.47ms, mfu 2.01%
iter 570: loss 2.4392, time 2.48ms, mfu 2.03%
iter 580: loss 2.4264, time 2.47ms, mfu 2.04%
iter 590: loss 2.4421, time 2.49ms, mfu 2.05%
iter 600: loss 2.4325, time 2.48ms, mfu 2.06%
iter 610: loss 2.4319, time 2.48ms, mfu 2.07%
iter 620: loss 2.4275, time 2.48ms, mfu 2.07%
iter 630: loss 2.4414, time 2.49ms, mfu 2.08%
iter 640: loss 2.4471, time 2.49ms, mfu 2.08%
iter 650: loss 2.4428, time 2.50ms, mfu 2.09%
iter 660: loss 2.4304, time 2.48ms, mfu 2.09%
iter 670: loss 2.4338, time 2.48ms, mfu 2.10%
iter 680: loss 2.4242, time 2.48ms, mfu 2.10%
iter 690: loss 2.4314, time 2.48ms, mfu 2.10%
iter 700: loss 2.3882, time 2.49ms, mfu 2.11%
iter 710: loss 2.4319, time 2.49ms, mfu 2.11%
iter 720: loss 2.4307, time 2.49ms, mfu 2.11%
iter 730: loss 2.4277, time 2.49ms, mfu 2.11%
iter 740: loss 2.4034, time 2.49ms, mfu 2.12%
step 750: train loss 2.3688, val loss 2.4464
saving checkpoint to out-shakespeare-XS-split50
iter 750: loss 2.4020, time 554.22ms, mfu 1.91%
iter 760: loss 2.4024, time 2.47ms, mfu 1.93%
iter 770: loss 2.4128, time 2.48ms, mfu 1.95%
iter 780: loss 2.4309, time 2.47ms, mfu 1.97%
iter 790: loss 2.4064, time 2.48ms, mfu 1.99%
iter 800: loss 2.4331, time 2.48ms, mfu 2.00%
iter 810: loss 2.3954, time 2.48ms, mfu 2.02%
iter 820: loss 2.4042, time 2.48ms, mfu 2.03%
iter 830: loss 2.4022, time 2.48ms, mfu 2.04%
iter 840: loss 2.4125, time 2.48ms, mfu 2.05%
iter 850: loss 2.4120, time 2.49ms, mfu 2.06%
iter 860: loss 2.4051, time 2.49ms, mfu 2.06%
iter 870: loss 2.3953, time 2.49ms, mfu 2.07%
iter 880: loss 2.3837, time 2.49ms, mfu 2.08%
iter 890: loss 2.3948, time 2.50ms, mfu 2.08%
iter 900: loss 2.3898, time 2.48ms, mfu 2.09%
iter 910: loss 2.3932, time 2.48ms, mfu 2.09%
iter 920: loss 2.4005, time 2.49ms, mfu 2.10%
iter 930: loss 2.3800, time 2.47ms, mfu 2.10%
iter 940: loss 2.3913, time 2.49ms, mfu 2.10%
iter 950: loss 2.3957, time 2.49ms, mfu 2.11%
iter 960: loss 2.3891, time 2.51ms, mfu 2.11%
iter 970: loss 2.3800, time 2.49ms, mfu 2.11%
iter 980: loss 2.3814, time 2.51ms, mfu 2.11%
iter 990: loss 2.3898, time 2.48ms, mfu 2.11%
step 1000: train loss 2.2920, val loss 2.4017
saving checkpoint to out-shakespeare-XS-split50
iter 1000: loss 2.3793, time 551.60ms, mfu 1.90%
iter 1010: loss 2.3633, time 2.50ms, mfu 1.92%
iter 1020: loss 2.3565, time 2.48ms, mfu 1.95%
iter 1030: loss 2.3675, time 2.48ms, mfu 1.96%
iter 1040: loss 2.3790, time 2.47ms, mfu 1.98%
iter 1050: loss 2.3528, time 2.49ms, mfu 2.00%
iter 1060: loss 2.3553, time 2.50ms, mfu 2.01%
iter 1070: loss 2.3938, time 2.50ms, mfu 2.02%
iter 1080: loss 2.3603, time 2.49ms, mfu 2.03%
iter 1090: loss 2.3539, time 2.49ms, mfu 2.04%
iter 1100: loss 2.3681, time 2.50ms, mfu 2.05%
iter 1110: loss 2.3567, time 2.49ms, mfu 2.06%
iter 1120: loss 2.3540, time 2.49ms, mfu 2.06%
iter 1130: loss 2.3529, time 2.50ms, mfu 2.07%
iter 1140: loss 2.3769, time 2.49ms, mfu 2.08%
iter 1150: loss 2.3798, time 2.49ms, mfu 2.08%
