======================================================================
Run 1/1  |  size=S  split=100%
Config : config/train_shakespeare_char_S.py
Out dir: out-shakespeare-S-split100
Log    : logs\train_S_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_S.py --train_file=train_100.bin --out_dir=out-shakespeare-S-split100 --wandb_run_name=S-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_S.py:
# Baseline configuration
out_dir = 'out-shakespeare-S'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-S-split100
Overriding: wandb_run_name = S-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 827,520 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
step 750: train loss 1.9069, val loss 2.0187
saving checkpoint to out-shakespeare-S-split100
iter 750: loss 2.0578, time 2719.62ms, mfu 2.31%
iter 760: loss 2.0505, time 15.50ms, mfu 2.30%
iter 770: loss 2.0312, time 9.28ms, mfu 2.43%
iter 780: loss 2.0298, time 15.66ms, mfu 2.40%
iter 790: loss 2.0140, time 9.88ms, mfu 2.50%
iter 800: loss 2.0279, time 9.16ms, mfu 2.61%
iter 810: loss 1.9959, time 13.66ms, mfu 2.59%
iter 820: loss 1.9978, time 9.59ms, mfu 2.68%
iter 830: loss 1.9902, time 21.21ms, mfu 2.57%
iter 840: loss 2.0066, time 9.45ms, mfu 2.67%
iter 850: loss 1.9503, time 10.10ms, mfu 2.73%
iter 860: loss 1.9761, time 13.24ms, mfu 2.71%
iter 870: loss 1.9457, time 9.12ms, mfu 2.80%
iter 880: loss 1.9672, time 25.38ms, mfu 2.65%
iter 890: loss 1.9783, time 9.54ms, mfu 2.74%
iter 900: loss 1.9377, time 21.21ms, mfu 2.62%
iter 910: loss 1.9733, time 9.57ms, mfu 2.71%
iter 920: loss 1.9419, time 15.43ms, mfu 2.65%
iter 930: loss 1.9235, time 25.34ms, mfu 2.52%
iter 940: loss 1.9522, time 18.50ms, mfu 2.45%
iter 950: loss 1.9284, time 9.09ms, mfu 2.57%
iter 960: loss 1.9132, time 21.47ms, mfu 2.47%
iter 970: loss 1.9202, time 9.48ms, mfu 2.57%
iter 980: loss 1.9094, time 9.42ms, mfu 2.67%
iter 990: loss 1.8846, time 16.97ms, mfu 2.60%
step 1000: train loss 1.7543, val loss 1.9026
saving checkpoint to out-shakespeare-S-split100
iter 1000: loss 1.8714, time 2714.32ms, mfu 2.34%
iter 1010: loss 1.9081, time 18.76ms, mfu 2.28%
iter 1020: loss 1.8780, time 9.47ms, mfu 2.41%
iter 1030: loss 1.9178, time 21.39ms, mfu 2.32%
iter 1040: loss 1.8795, time 9.25ms, mfu 2.45%
iter 1050: loss 1.9115, time 21.12ms, mfu 2.36%
iter 1060: loss 1.9020, time 17.74ms, mfu 2.32%
iter 1070: loss 1.8791, time 10.92ms, mfu 2.39%
iter 1080: loss 1.8805, time 25.45ms, mfu 2.28%
iter 1090: loss 1.8852, time 9.19ms, mfu 2.42%
iter 1100: loss 1.8479, time 13.85ms, mfu 2.41%
iter 1110: loss 1.8945, time 22.48ms, mfu 2.32%
iter 1120: loss 1.8572, time 17.96ms, mfu 2.28%
iter 1130: loss 1.8631, time 23.49ms, mfu 2.19%
iter 1140: loss 1.8359, time 20.35ms, mfu 2.13%
iter 1150: loss 1.8551, time 8.94ms, mfu 2.29%
iter 1160: loss 1.8306, time 15.73ms, mfu 2.28%
iter 1170: loss 1.8254, time 9.22ms, mfu 2.41%
iter 1180: loss 1.8162, time 22.10ms, mfu 2.32%
iter 1190: loss 1.7935, time 9.07ms, mfu 2.46%
iter 1200: loss 1.8192, time 19.77ms, mfu 2.38%
iter 1210: loss 1.8249, time 13.05ms, mfu 2.40%
iter 1220: loss 1.8055, time 17.70ms, mfu 2.35%
iter 1230: loss 1.8123, time 15.17ms, mfu 2.33%
iter 1240: loss 1.8302, time 24.90ms, mfu 2.23%
step 1250: train loss 1.6620, val loss 1.8438
saving checkpoint to out-shakespeare-S-split100
iter 1250: loss 1.8117, time 2743.70ms, mfu 2.01%
iter 1260: loss 1.8180, time 9.30ms, mfu 2.17%
iter 1270: loss 1.7795, time 32.35ms, mfu 2.05%
iter 1280: loss 1.7902, time 22.78ms, mfu 1.99%
iter 1290: loss 1.8234, time 14.75ms, mfu 2.02%
iter 1300: loss 1.7987, time 19.94ms, mfu 1.99%
iter 1310: loss 1.7983, time 12.64ms, mfu 2.05%
iter 1320: loss 1.7978, time 17.39ms, mfu 2.04%
iter 1330: loss 1.7576, time 9.44ms, mfu 2.19%
iter 1340: loss 1.7992, time 12.89ms, mfu 2.23%
iter 1350: loss 1.7670, time 9.18ms, mfu 2.37%
iter 1360: loss 1.7747, time 20.48ms, mfu 2.29%
iter 1370: loss 1.7495, time 9.20ms, mfu 2.43%
iter 1380: loss 1.8049, time 9.54ms, mfu 2.53%
iter 1390: loss 1.7737, time 10.17ms, mfu 2.61%
iter 1400: loss 1.8048, time 19.90ms, mfu 2.51%
iter 1410: loss 1.7943, time 9.27ms, mfu 2.62%
iter 1420: loss 1.7194, time 15.15ms, mfu 2.58%
iter 1430: loss 1.7464, time 9.61ms, mfu 2.67%
iter 1440: loss 1.7520, time 19.59ms, mfu 2.57%
iter 1450: loss 1.7709, time 26.37ms, mfu 2.44%
iter 1460: loss 1.7272, time 9.44ms, mfu 2.55%
iter 1470: loss 1.7412, time 22.52ms, mfu 2.44%
iter 1480: loss 1.7262, time 21.78ms, mfu 2.35%
iter 1490: loss 1.7562, time 14.63ms, mfu 2.35%
step 1500: train loss 1.5974, val loss 1.7727
saving checkpoint to out-shakespeare-S-split100
iter 1500: loss 1.7440, time 2733.12ms, mfu 2.11%
iter 1510: loss 1.7100, time 9.15ms, mfu 2.26%
iter 1520: loss 1.7134, time 9.16ms, mfu 2.40%
iter 1530: loss 1.7419, time 20.83ms, mfu 2.32%
iter 1540: loss 1.7069, time 12.90ms, mfu 2.35%
iter 1550: loss 1.7343, time 16.06ms, mfu 2.32%
iter 1560: loss 1.7036, time 9.23ms, mfu 2.45%
iter 1570: loss 1.7307, time 22.79ms, mfu 2.35%
iter 1580: loss 1.6699, time 13.71ms, mfu 2.36%
iter 1590: loss 1.7246, time 9.84ms, mfu 2.46%
iter 1600: loss 1.6973, time 20.87ms, mfu 2.38%
iter 1610: loss 1.6990, time 15.82ms, mfu 2.35%
iter 1620: loss 1.7065, time 9.19ms, mfu 2.48%
iter 1630: loss 1.6903, time 19.77ms, mfu 2.40%
iter 1640: loss 1.7182, time 12.84ms, mfu 2.42%
iter 1650: loss 1.7651, time 10.02ms, mfu 2.51%
iter 1660: loss 1.7237, time 21.52ms, mfu 2.41%
iter 1670: loss 1.6959, time 15.85ms, mfu 2.38%
iter 1680: loss 1.7392, time 9.38ms, mfu 2.50%
iter 1690: loss 1.6832, time 15.24ms, mfu 2.47%
iter 1700: loss 1.7166, time 9.36ms, mfu 2.58%
iter 1710: loss 1.6843, time 15.76ms, mfu 2.53%
iter 1720: loss 1.7095, time 17.83ms, mfu 2.46%
iter 1730: loss 1.7294, time 9.27ms, mfu 2.58%
iter 1740: loss 1.6824, time 20.80ms, mfu 2.48%
step 1750: train loss 1.5540, val loss 1.7373
saving checkpoint to out-shakespeare-S-split100
iter 1750: loss 1.6846, time 2775.23ms, mfu 2.23%
iter 1760: loss 1.6797, time 13.06ms, mfu 2.27%
iter 1770: loss 1.7022, time 18.92ms, mfu 2.22%
iter 1780: loss 1.7185, time 18.61ms, mfu 2.17%
iter 1790: loss 1.6956, time 9.17ms, mfu 2.32%
iter 1800: loss 1.6599, time 9.72ms, mfu 2.43%
iter 1810: loss 1.6912, time 12.71ms, mfu 2.45%
iter 1820: loss 1.6809, time 20.04ms, mfu 2.37%
iter 1830: loss 1.6759, time 12.21ms, mfu 2.41%
iter 1840: loss 1.6932, time 9.09ms, mfu 2.53%
