======================================================================
Run 2/16  |  size=XS  split=25%
Config : config/train_shakespeare_char_XS.py
Out dir: out-shakespeare-XS-split25
Log    : logs/train_XS_split25.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_XS.py --train_file=train_25.bin --out_dir=out-shakespeare-XS-split25 --wandb_run_name=XS-split25

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_XS.py:
# Baseline configuration
out_dir = 'out-shakespeare-XS'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 2
n_embd = 64
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_25.bin
Overriding: out_dir = out-shakespeare-XS-split25
Overriding: wandb_run_name = XS-split25
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.10M
num decayed parameter tensors: 10, with 118,848 parameters
num non-decayed parameter tensors: 5, with 320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1908, val loss 4.1903
iter 0: loss 4.1882, time 1586.32ms, mfu -100.00%
iter 10: loss 4.1104, time 2.45ms, mfu 2.17%
iter 20: loss 3.8840, time 2.45ms, mfu 2.17%
iter 30: loss 3.7369, time 2.45ms, mfu 2.17%
iter 40: loss 3.5881, time 2.45ms, mfu 2.17%
iter 50: loss 3.4324, time 2.43ms, mfu 2.17%
iter 60: loss 3.2391, time 2.45ms, mfu 2.17%
iter 70: loss 3.1420, time 2.47ms, mfu 2.17%
iter 80: loss 3.0099, time 2.48ms, mfu 2.16%
iter 90: loss 2.9109, time 2.79ms, mfu 2.14%
iter 100: loss 2.8398, time 2.44ms, mfu 2.14%
iter 110: loss 2.7555, time 2.85ms, mfu 2.11%
iter 120: loss 2.7132, time 2.46ms, mfu 2.12%
iter 130: loss 2.6688, time 2.44ms, mfu 2.12%
iter 140: loss 2.6194, time 2.42ms, mfu 2.13%
iter 150: loss 2.6270, time 2.45ms, mfu 2.13%
iter 160: loss 2.5698, time 2.44ms, mfu 2.14%
iter 170: loss 2.5901, time 2.44ms, mfu 2.14%
iter 180: loss 2.5665, time 2.45ms, mfu 2.14%
iter 190: loss 2.5697, time 2.45ms, mfu 2.15%
iter 200: loss 2.5531, time 2.43ms, mfu 2.15%
iter 210: loss 2.5269, time 2.44ms, mfu 2.15%
iter 220: loss 2.5396, time 2.44ms, mfu 2.15%
iter 230: loss 2.5371, time 2.44ms, mfu 2.16%
iter 240: loss 2.5069, time 2.44ms, mfu 2.16%
step 250: train loss 2.4745, val loss 2.5591
saving checkpoint to out-shakespeare-XS-split25
iter 250: loss 2.5148, time 547.08ms, mfu 1.94%
iter 260: loss 2.5015, time 2.46ms, mfu 1.96%
iter 270: loss 2.4991, time 2.44ms, mfu 1.99%
iter 280: loss 2.5101, time 2.47ms, mfu 2.00%
iter 290: loss 2.4950, time 2.46ms, mfu 2.02%
iter 300: loss 2.4906, time 2.44ms, mfu 2.03%
iter 310: loss 2.5086, time 2.44ms, mfu 2.05%
iter 320: loss 2.4880, time 2.45ms, mfu 2.06%
iter 330: loss 2.4701, time 2.44ms, mfu 2.07%
iter 340: loss 2.4802, time 2.45ms, mfu 2.08%
iter 350: loss 2.4796, time 2.45ms, mfu 2.09%
iter 360: loss 2.4733, time 2.44ms, mfu 2.10%
iter 370: loss 2.4899, time 2.44ms, mfu 2.10%
iter 380: loss 2.4696, time 2.44ms, mfu 2.11%
iter 390: loss 2.4557, time 2.44ms, mfu 2.12%
iter 400: loss 2.4639, time 2.46ms, mfu 2.12%
iter 410: loss 2.4444, time 2.43ms, mfu 2.13%
iter 420: loss 2.4650, time 2.45ms, mfu 2.13%
iter 430: loss 2.4715, time 2.44ms, mfu 2.14%
iter 440: loss 2.4623, time 2.44ms, mfu 2.14%
iter 450: loss 2.4590, time 2.46ms, mfu 2.14%
iter 460: loss 2.4610, time 2.45ms, mfu 2.14%
iter 470: loss 2.4341, time 2.43ms, mfu 2.15%
iter 480: loss 2.4412, time 2.45ms, mfu 2.15%
iter 490: loss 2.4467, time 2.45ms, mfu 2.15%
step 500: train loss 2.3906, val loss 2.5133
saving checkpoint to out-shakespeare-XS-split25
iter 500: loss 2.4120, time 544.52ms, mfu 1.94%
iter 510: loss 2.4145, time 2.45ms, mfu 1.96%
iter 520: loss 2.4147, time 2.45ms, mfu 1.98%
iter 530: loss 2.4391, time 2.44ms, mfu 2.00%
iter 540: loss 2.4428, time 2.45ms, mfu 2.01%
iter 550: loss 2.4236, time 2.46ms, mfu 2.03%
iter 560: loss 2.4084, time 2.44ms, mfu 2.04%
iter 570: loss 2.4236, time 2.46ms, mfu 2.06%
iter 580: loss 2.4219, time 2.45ms, mfu 2.07%
iter 590: loss 2.4129, time 2.45ms, mfu 2.08%
iter 600: loss 2.4198, time 2.45ms, mfu 2.09%
iter 610: loss 2.4432, time 2.46ms, mfu 2.09%
iter 620: loss 2.4108, time 2.47ms, mfu 2.10%
iter 630: loss 2.4212, time 2.44ms, mfu 2.11%
iter 640: loss 2.4088, time 2.44ms, mfu 2.11%
iter 650: loss 2.4004, time 2.45ms, mfu 2.12%
iter 660: loss 2.4080, time 2.44ms, mfu 2.12%
iter 670: loss 2.3979, time 2.44ms, mfu 2.13%
iter 680: loss 2.3998, time 2.46ms, mfu 2.13%
iter 690: loss 2.3917, time 2.44ms, mfu 2.14%
iter 700: loss 2.3634, time 2.43ms, mfu 2.14%
iter 710: loss 2.3981, time 2.45ms, mfu 2.14%
iter 720: loss 2.3641, time 2.45ms, mfu 2.15%
iter 730: loss 2.3979, time 2.43ms, mfu 2.15%
iter 740: loss 2.3738, time 2.45ms, mfu 2.15%
step 750: train loss 2.3251, val loss 2.5002
saving checkpoint to out-shakespeare-XS-split25
iter 750: loss 2.3955, time 548.68ms, mfu 1.94%
iter 760: loss 2.3891, time 2.45ms, mfu 1.96%
iter 770: loss 2.3545, time 2.45ms, mfu 1.98%
iter 780: loss 2.3730, time 2.45ms, mfu 2.00%
iter 790: loss 2.3647, time 2.44ms, mfu 2.02%
iter 800: loss 2.3870, time 2.45ms, mfu 2.03%
iter 810: loss 2.3734, time 2.46ms, mfu 2.04%
iter 820: loss 2.3457, time 2.46ms, mfu 2.05%
iter 830: loss 2.3748, time 2.45ms, mfu 2.07%
iter 840: loss 2.3442, time 2.43ms, mfu 2.08%
iter 850: loss 2.3686, time 2.46ms, mfu 2.09%
iter 860: loss 2.3628, time 2.46ms, mfu 2.09%
iter 870: loss 2.3607, time 2.44ms, mfu 2.10%
iter 880: loss 2.3668, time 2.45ms, mfu 2.11%
iter 890: loss 2.3690, time 2.47ms, mfu 2.11%
iter 900: loss 2.3716, time 2.46ms, mfu 2.12%
iter 910: loss 2.3660, time 2.46ms, mfu 2.12%
iter 920: loss 2.3540, time 2.44ms, mfu 2.13%
iter 930: loss 2.3636, time 2.46ms, mfu 2.13%
iter 940: loss 2.3461, time 2.64ms, mfu 2.12%
iter 950: loss 2.3682, time 2.45ms, mfu 2.12%
iter 960: loss 2.3462, time 2.45ms, mfu 2.13%
iter 970: loss 2.3537, time 2.46ms, mfu 2.13%
iter 980: loss 2.3502, time 2.47ms, mfu 2.13%
iter 990: loss 2.3669, time 2.45ms, mfu 2.13%
step 1000: train loss 2.2387, val loss 2.4616
saving checkpoint to out-shakespeare-XS-split25
iter 1000: loss 2.3497, time 546.21ms, mfu 1.92%
iter 1010: loss 2.3330, time 2.45ms, mfu 1.95%
iter 1020: loss 2.3192, time 2.46ms, mfu 1.97%
iter 1030: loss 2.3419, time 2.46ms, mfu 1.99%
iter 1040: loss 2.3603, time 2.46ms, mfu 2.00%
iter 1050: loss 2.3122, time 2.44ms, mfu 2.02%
iter 1060: loss 2.3343, time 2.45ms, mfu 2.04%
iter 1070: loss 2.3036, time 2.45ms, mfu 2.05%
iter 1080: loss 2.3047, time 2.44ms, mfu 2.06%
iter 1090: loss 2.3267, time 2.45ms, mfu 2.07%
iter 1100: loss 2.3343, time 2.45ms, mfu 2.08%
iter 1110: loss 2.3101, time 2.45ms, mfu 2.09%
iter 1120: loss 2.3292, time 2.45ms, mfu 2.10%
iter 1130: loss 2.3151, time 2.46ms, mfu 2.10%
iter 1140: loss 2.2953, time 2.43ms, mfu 2.11%
iter 1150: loss 2.2951, time 2.47ms, mfu 2.11%
