======================================================================
Run 14/16  |  size=L  split=25%
Config : config/train_shakespeare_char_L.py
Out dir: out-shakespeare-L-split25
Log    : logs/train_L_split25.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_L.py --train_file=train_25.bin --out_dir=out-shakespeare-L-split25 --wandb_run_name=L-split25

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_L.py:
# Baseline configuration
out_dir = 'out-shakespeare-L'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 8
n_head = 8
n_embd = 512
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_25.bin
Overriding: out_dir = out-shakespeare-L-split25
Overriding: wandb_run_name = L-split25
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 25.21M
num decayed parameter tensors: 34, with 25,330,176 parameters
num non-decayed parameter tensors: 17, with 8,704 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.2464, val loss 4.2381
iter 0: loss 4.2637, time 9401.57ms, mfu -100.00%
iter 10: loss 3.0427, time 61.79ms, mfu 13.92%
iter 20: loss 2.6523, time 62.16ms, mfu 13.92%
iter 30: loss 2.5380, time 61.86ms, mfu 13.91%
iter 40: loss 2.4896, time 61.97ms, mfu 13.91%
iter 50: loss 2.4633, time 62.18ms, mfu 13.90%
iter 60: loss 2.4559, time 61.80ms, mfu 13.91%
iter 70: loss 2.4235, time 62.11ms, mfu 13.90%
iter 80: loss 2.4060, time 61.79ms, mfu 13.90%
iter 90: loss 2.4053, time 61.91ms, mfu 13.90%
iter 100: loss 2.3946, time 62.22ms, mfu 13.89%
iter 110: loss 2.3783, time 61.82ms, mfu 13.90%
iter 120: loss 2.3776, time 62.27ms, mfu 13.89%
iter 130: loss 2.3054, time 61.84ms, mfu 13.89%
iter 140: loss 2.2471, time 62.05ms, mfu 13.89%
iter 150: loss 2.1939, time 61.98ms, mfu 13.89%
iter 160: loss 2.1065, time 62.05ms, mfu 13.89%
iter 170: loss 2.0806, time 62.02ms, mfu 13.88%
iter 180: loss 2.0145, time 61.91ms, mfu 13.88%
iter 190: loss 1.9832, time 62.36ms, mfu 13.88%
iter 200: loss 1.9330, time 61.98ms, mfu 13.88%
iter 210: loss 1.9134, time 62.03ms, mfu 13.88%
iter 220: loss 1.8525, time 62.13ms, mfu 13.87%
iter 230: loss 1.8434, time 62.00ms, mfu 13.87%
iter 240: loss 1.8163, time 62.17ms, mfu 13.87%
step 250: train loss 1.7167, val loss 2.2235
saving checkpoint to out-shakespeare-L-split25
iter 250: loss 1.8012, time 8304.76ms, mfu 12.49%
iter 260: loss 1.7631, time 61.83ms, mfu 12.64%
iter 270: loss 1.7572, time 62.40ms, mfu 12.75%
iter 280: loss 1.7177, time 61.95ms, mfu 12.86%
iter 290: loss 1.6735, time 61.93ms, mfu 12.97%
iter 300: loss 1.6732, time 62.21ms, mfu 13.05%
iter 310: loss 1.6663, time 61.93ms, mfu 13.14%
iter 320: loss 1.6675, time 62.09ms, mfu 13.21%
iter 330: loss 1.6700, time 61.97ms, mfu 13.28%
iter 340: loss 1.6032, time 61.95ms, mfu 13.34%
iter 350: loss 1.5613, time 62.21ms, mfu 13.39%
iter 360: loss 1.5656, time 61.98ms, mfu 13.44%
iter 370: loss 1.5457, time 62.19ms, mfu 13.48%
iter 380: loss 1.5671, time 62.07ms, mfu 13.51%
iter 390: loss 1.5189, time 62.07ms, mfu 13.55%
iter 400: loss 1.5036, time 62.26ms, mfu 13.58%
iter 410: loss 1.4938, time 62.12ms, mfu 13.60%
iter 420: loss 1.4893, time 62.12ms, mfu 13.63%
iter 430: loss 1.4568, time 61.99ms, mfu 13.65%
iter 440: loss 1.4667, time 62.01ms, mfu 13.67%
iter 450: loss 1.4610, time 62.04ms, mfu 13.69%
iter 460: loss 1.4210, time 61.99ms, mfu 13.71%
iter 470: loss 1.4224, time 62.15ms, mfu 13.73%
iter 480: loss 1.3883, time 62.03ms, mfu 13.74%
iter 490: loss 1.3894, time 62.14ms, mfu 13.75%
step 500: train loss 1.3051, val loss 2.0967
saving checkpoint to out-shakespeare-L-split25
iter 500: loss 1.3785, time 8500.68ms, mfu 12.39%
iter 510: loss 1.3682, time 61.82ms, mfu 12.54%
iter 520: loss 1.3653, time 62.49ms, mfu 12.66%
iter 530: loss 1.3634, time 62.03ms, mfu 12.78%
iter 540: loss 1.3504, time 61.97ms, mfu 12.89%
iter 550: loss 1.3205, time 62.15ms, mfu 12.99%
iter 560: loss 1.3285, time 61.91ms, mfu 13.08%
iter 570: loss 1.3051, time 62.37ms, mfu 13.15%
iter 580: loss 1.3010, time 61.84ms, mfu 13.23%
iter 590: loss 1.2777, time 61.97ms, mfu 13.29%
iter 600: loss 1.2724, time 62.28ms, mfu 13.34%
iter 610: loss 1.2660, time 62.06ms, mfu 13.40%
iter 620: loss 1.2636, time 62.15ms, mfu 13.44%
iter 630: loss 1.2305, time 62.00ms, mfu 13.48%
iter 640: loss 1.2090, time 62.06ms, mfu 13.52%
iter 650: loss 1.2066, time 62.32ms, mfu 13.55%
iter 660: loss 1.2391, time 62.04ms, mfu 13.58%
iter 670: loss 1.2076, time 62.03ms, mfu 13.61%
iter 680: loss 1.2039, time 62.19ms, mfu 13.63%
iter 690: loss 1.1768, time 62.09ms, mfu 13.66%
iter 700: loss 1.1059, time 62.11ms, mfu 13.67%
iter 710: loss 1.1478, time 61.98ms, mfu 13.70%
iter 720: loss 1.1128, time 62.11ms, mfu 13.71%
iter 730: loss 1.1244, time 62.16ms, mfu 13.72%
iter 740: loss 1.0820, time 62.14ms, mfu 13.74%
step 750: train loss 0.9619, val loss 2.1793
iter 750: loss 1.1270, time 8075.99ms, mfu 12.37%
iter 760: loss 1.0860, time 62.24ms, mfu 12.52%
