======================================================================
Run 6/16  |  size=S  split=25%
Config : config/train_shakespeare_char_S.py
Out dir: out-shakespeare-S-split25
Log    : logs/train_S_split25.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_S.py --train_file=train_25.bin --out_dir=out-shakespeare-S-split25 --wandb_run_name=S-split25

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_S.py:
# Baseline configuration
out_dir = 'out-shakespeare-S'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 4
n_head = 4
n_embd = 128
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_25.bin
Overriding: out_dir = out-shakespeare-S-split25
Overriding: wandb_run_name = S-split25
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 827,520 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 4.1915, val loss 4.1903
iter 0: loss 4.1949, time 2013.80ms, mfu -100.00%
iter 10: loss 3.7814, time 3.66ms, mfu 9.10%
iter 20: loss 3.5689, time 3.50ms, mfu 9.14%
iter 30: loss 3.2713, time 3.61ms, mfu 9.15%
iter 40: loss 3.0204, time 3.72ms, mfu 9.13%
iter 50: loss 2.8702, time 3.70ms, mfu 9.12%
iter 60: loss 2.7253, time 3.71ms, mfu 9.10%
iter 70: loss 2.6669, time 3.65ms, mfu 9.11%
iter 80: loss 2.6026, time 3.73ms, mfu 9.09%
iter 90: loss 2.5713, time 3.51ms, mfu 9.13%
iter 100: loss 2.5499, time 3.54ms, mfu 9.16%
iter 110: loss 2.5035, time 3.56ms, mfu 9.18%
iter 120: loss 2.5085, time 3.57ms, mfu 9.20%
iter 130: loss 2.5035, time 3.76ms, mfu 9.16%
iter 140: loss 2.4769, time 3.55ms, mfu 9.19%
iter 150: loss 2.4649, time 3.67ms, mfu 9.18%
iter 160: loss 2.4698, time 3.68ms, mfu 9.16%
iter 170: loss 2.4619, time 3.63ms, mfu 9.17%
iter 180: loss 2.4226, time 3.71ms, mfu 9.15%
iter 190: loss 2.4441, time 3.75ms, mfu 9.12%
iter 200: loss 2.4242, time 3.61ms, mfu 9.13%
iter 210: loss 2.4191, time 3.62ms, mfu 9.14%
iter 220: loss 2.4382, time 3.66ms, mfu 9.14%
iter 230: loss 2.4098, time 3.51ms, mfu 9.17%
iter 240: loss 2.4002, time 3.54ms, mfu 9.20%
step 250: train loss 2.3572, val loss 2.5155
saving checkpoint to out-shakespeare-S-split25
iter 250: loss 2.3976, time 834.98ms, mfu 8.28%
iter 260: loss 2.3778, time 3.58ms, mfu 8.38%
iter 270: loss 2.4040, time 3.54ms, mfu 8.49%
iter 280: loss 2.3813, time 3.76ms, mfu 8.53%
iter 290: loss 2.3949, time 3.62ms, mfu 8.59%
iter 300: loss 2.3456, time 3.51ms, mfu 8.68%
iter 310: loss 2.3469, time 3.59ms, mfu 8.74%
iter 320: loss 2.3416, time 3.53ms, mfu 8.81%
iter 330: loss 2.3222, time 3.72ms, mfu 8.83%
iter 340: loss 2.3064, time 3.65ms, mfu 8.86%
iter 350: loss 2.2958, time 3.78ms, mfu 8.86%
iter 360: loss 2.2932, time 3.47ms, mfu 8.93%
iter 370: loss 2.2988, time 3.52ms, mfu 8.99%
iter 380: loss 2.2710, time 3.58ms, mfu 9.02%
iter 390: loss 2.2974, time 3.75ms, mfu 9.01%
iter 400: loss 2.2525, time 3.72ms, mfu 9.00%
iter 410: loss 2.2397, time 3.43ms, mfu 9.07%
iter 420: loss 2.2434, time 3.59ms, mfu 9.09%
